gender,phone_use_hours,sleep_hours,person_interaction,social_media_hours,gaming_hours,educational_hours,family_communication,phone_anxiety,phone_during_meals,lose_track_time,performance_impact,phone_before_sleep,phone_after_wakeup,phone_addiction
male,8 to 10 hours,4 to 6 hours,sometimes,more than 9 hours,1 to 3 hours,less than 1 hour,never,rarely,sometimes,rarely,never,never,often,yes
male,5 to 7 hours,more than 8 hours,always,4 to 6 hours,less than 1 hour,more than 9 hours,rarely,rarely,never,always,never,rarely,never,no
male,5 to 7 hours,7 to 8 hours,often,4 to 6 hours,more than 9 hours,1 to 3 hours,sometimes,sometimes,never,always,always,often,sometimes,yes
female,more than 10 hours,more than 8 hours,often,more than 9 hours,1 to 3 hours,more than 9 hours,sometimes,never,rarely,always,never,often,often,no
female,more than 10 hours,7 to 8 hours,sometimes,4 to 6 hours,less than 1 hour,4 to 6 hours,always,sometimes,rarely,never,rarely,rarely,rarely,no
male,2 to 4 hours,7 to 8 hours,often,less than 1 hour,less than 1 hour,4 to 6 hours,often,rarely,rarely,sometimes,never,rarely,sometimes,no
male,more than 10 hours,less than 4 hours,always,more than 9 hours,4 to 6 hours,1 to 3 hours,rarely,sometimes,always,rarely,never,never,never,yes
female,more than 10 hours,7 to 8 hours,rarely,less than 1 hour,1 to 3 hours,7 to 9 hours,never,never,always,rarely,often,sometimes,rarely,no
female,more than 10 hours,7 to 8 hours,rarely,4 to 6 hours,more than 9 hours,less than 1 hour,often,sometimes,rarely,rarely,never,often,rarely,yes
male,more than 10 hours,more than 8 hours,never,4 to 6 hours,7 to 9 hours,7 to 9 hours,sometimes,always,rarely,always,always,sometimes,often,yes
male,5 to 7 hours,4 to 6 hours,never,more than 9 hours,4 to 6 hours,less than 1 hour,sometimes,sometimes,always,sometimes,sometimes,sometimes,often,yes
male,5 to 7 hours,4 to 6 hours,always,1 to 3 hours,more than 9 hours,4 to 6 hours,often,always,sometimes,always,never,rarely,rarely,no
female,less than 2 hours,more than 8 hours,sometimes,less than 1 hour,4 to 6 hours,4 to 6 hours,never,sometimes,sometimes,always,always,rarely,never,no
male,8 to 10 hours,4 to 6 hours,often,4 to 6 hours,more than 9 hours,more than 9 hours,always,rarely,never,always,rarely,rarely,always,yes
male,8 to 10 hours,7 to 8 hours,always,1 to 3 hours,7 to 9 hours,4 to 6 hours,always,always,never,sometimes,always,never,sometimes,no
male,2 to 4 hours,4 to 6 hours,often,1 to 3 hours,4 to 6 hours,more than 9 hours,always,always,rarely,often,always,often,always,yes
female,5 to 7 hours,4 to 6 hours,sometimes,more than 9 hours,more than 9 hours,4 to 6 hours,sometimes,rarely,never,never,sometimes,rarely,rarely,no
male,less than 2 hours,more than 8 hours,always,1 to 3 hours,more than 9 hours,7 to 9 hours,always,often,rarely,rarely,often,never,rarely,no
female,5 to 7 hours,more than 8 hours,rarely,less than 1 hour,7 to 9 hours,7 to 9 hours,rarely,often,never,never,sometimes,often,never,yes
male,more than 10 hours,more than 8 hours,never,4 to 6 hours,4 to 6 hours,4 to 6 hours,often,sometimes,always,rarely,rarely,rarely,sometimes,no
female,more than 10 hours,less than 4 hours,rarely,7 to 9 hours,7 to 9 hours,less than 1 hour,always,always,often,sometimes,never,sometimes,always,yes
female,2 to 4 hours,4 to 6 hours,rarely,4 to 6 hours,less than 1 hour,7 to 9 hours,never,often,sometimes,never,never,rarely,sometimes,no
male,5 to 7 hours,4 to 6 hours,rarely,7 to 9 hours,less than 1 hour,more than 9 hours,rarely,sometimes,never,often,never,rarely,sometimes,yes
male,2 to 4 hours,7 to 8 hours,rarely,1 to 3 hours,more than 9 hours,less than 1 hour,never,never,often,often,sometimes,sometimes,sometimes,yes
male,2 to 4 hours,4 to 6 hours,never,more than 9 hours,4 to 6 hours,7 to 9 hours,always,often,often,sometimes,always,often,often,yes
male,8 to 10 hours,7 to 8 hours,sometimes,4 to 6 hours,1 to 3 hours,more than 9 hours,sometimes,rarely,often,rarely,never,often,never,no
female,5 to 7 hours,less than 4 hours,often,more than 9 hours,4 to 6 hours,1 to 3 hours,sometimes,always,never,sometimes,never,sometimes,rarely,yes
female,8 to 10 hours,4 to 6 hours,often,more than 9 hours,4 to 6 hours,more than 9 hours,sometimes,never,never,sometimes,rarely,never,sometimes,no
female,5 to 7 hours,4 to 6 hours,often,more than 9 hours,4 to 6 hours,4 to 6 hours,rarely,always,never,rarely,sometimes,sometimes,never,yes
male,less than 2 hours,less than 4 hours,never,1 to 3 hours,more than 9 hours,4 to 6 hours,never,often,never,never,never,rarely,often,yes
female,less than 2 hours,4 to 6 hours,sometimes,4 to 6 hours,less than 1 hour,more than 9 hours,never,always,rarely,rarely,often,never,never,no
female,more than 10 hours,less than 4 hours,sometimes,more than 9 hours,1 to 3 hours,more than 9 hours,rarely,rarely,often,sometimes,never,always,always,yes
male,less than 2 hours,less than 4 hours,always,more than 9 hours,7 to 9 hours,less than 1 hour,always,never,never,rarely,rarely,sometimes,always,no
male,less than 2 hours,more than 8 hours,never,4 to 6 hours,less than 1 hour,1 to 3 hours,always,never,never,sometimes,often,rarely,often,no
female,5 to 7 hours,7 to 8 hours,never,7 to 9 hours,1 to 3 hours,7 to 9 hours,always,often,often,always,often,always,always,yes
female,8 to 10 hours,less than 4 hours,always,7 to 9 hours,1 to 3 hours,7 to 9 hours,sometimes,always,never,never,sometimes,sometimes,often,no
female,more than 10 hours,more than 8 hours,never,4 to 6 hours,4 to 6 hours,4 to 6 hours,sometimes,never,always,sometimes,never,rarely,often,yes
female,8 to 10 hours,more than 8 hours,rarely,more than 9 hours,7 to 9 hours,7 to 9 hours,often,rarely,sometimes,often,often,often,always,yes
male,more than 10 hours,7 to 8 hours,rarely,more than 9 hours,7 to 9 hours,more than 9 hours,never,always,often,rarely,often,sometimes,rarely,yes
male,5 to 7 hours,more than 8 hours,often,less than 1 hour,1 to 3 hours,more than 9 hours,often,often,often,rarely,rarely,often,never,no
male,8 to 10 hours,more than 8 hours,often,more than 9 hours,4 to 6 hours,7 to 9 hours,rarely,often,rarely,never,often,never,never,yes
male,more than 10 hours,7 to 8 hours,always,4 to 6 hours,7 to 9 hours,more than 9 hours,never,rarely,always,often,never,never,always,yes
male,less than 2 hours,7 to 8 hours,always,less than 1 hour,1 to 3 hours,more than 9 hours,sometimes,often,never,always,always,never,sometimes,no
male,less than 2 hours,7 to 8 hours,sometimes,less than 1 hour,4 to 6 hours,more than 9 hours,always,often,always,always,rarely,always,always,yes
male,2 to 4 hours,less than 4 hours,never,7 to 9 hours,1 to 3 hours,4 to 6 hours,often,rarely,sometimes,sometimes,always,always,always,yes
female,less than 2 hours,7 to 8 hours,never,1 to 3 hours,less than 1 hour,more than 9 hours,always,never,never,often,never,often,often,no
male,less than 2 hours,7 to 8 hours,always,4 to 6 hours,7 to 9 hours,7 to 9 hours,rarely,sometimes,often,rarely,often,never,rarely,no
male,5 to 7 hours,more than 8 hours,sometimes,4 to 6 hours,more than 9 hours,1 to 3 hours,often,never,often,rarely,never,never,rarely,no
female,5 to 7 hours,7 to 8 hours,sometimes,more than 9 hours,7 to 9 hours,1 to 3 hours,sometimes,never,often,sometimes,often,sometimes,often,yes
male,more than 10 hours,7 to 8 hours,sometimes,more than 9 hours,4 to 6 hours,4 to 6 hours,never,often,never,often,rarely,rarely,always,yes
male,2 to 4 hours,less than 4 hours,sometimes,1 to 3 hours,less than 1 hour,more than 9 hours,sometimes,always,sometimes,always,always,sometimes,sometimes,no
male,5 to 7 hours,less than 4 hours,rarely,more than 9 hours,1 to 3 hours,7 to 9 hours,never,always,often,rarely,often,rarely,never,yes
female,less than 2 hours,less than 4 hours,never,more than 9 hours,1 to 3 hours,7 to 9 hours,sometimes,never,rarely,always,always,never,rarely,no
male,more than 10 hours,less than 4 hours,often,more than 9 hours,more than 9 hours,7 to 9 hours,never,often,rarely,never,rarely,always,sometimes,yes
male,less than 2 hours,4 to 6 hours,never,4 to 6 hours,1 to 3 hours,less than 1 hour,never,sometimes,never,often,rarely,rarely,sometimes,yes
female,less than 2 hours,more than 8 hours,sometimes,less than 1 hour,more than 9 hours,1 to 3 hours,always,sometimes,sometimes,rarely,rarely,rarely,always,no
male,2 to 4 hours,4 to 6 hours,rarely,more than 9 hours,less than 1 hour,7 to 9 hours,never,rarely,never,sometimes,rarely,rarely,sometimes,no
male,less than 2 hours,4 to 6 hours,rarely,1 to 3 hours,7 to 9 hours,more than 9 hours,rarely,always,never,rarely,always,never,never,yes
male,5 to 7 hours,7 to 8 hours,never,more than 9 hours,7 to 9 hours,less than 1 hour,often,sometimes,always,never,always,always,always,yes
female,2 to 4 hours,7 to 8 hours,always,7 to 9 hours,less than 1 hour,4 to 6 hours,rarely,often,always,often,often,never,always,yes
male,5 to 7 hours,more than 8 hours,never,less than 1 hour,more than 9 hours,1 to 3 hours,always,often,always,often,never,rarely,never,yes
male,5 to 7 hours,7 to 8 hours,never,more than 9 hours,more than 9 hours,7 to 9 hours,sometimes,often,rarely,sometimes,sometimes,rarely,never,no
female,less than 2 hours,less than 4 hours,sometimes,more than 9 hours,more than 9 hours,1 to 3 hours,often,often,sometimes,always,always,often,never,yes
female,2 to 4 hours,more than 8 hours,always,7 to 9 hours,1 to 3 hours,7 to 9 hours,sometimes,sometimes,rarely,sometimes,often,often,rarely,no
male,more than 10 hours,4 to 6 hours,sometimes,less than 1 hour,7 to 9 hours,more than 9 hours,never,sometimes,rarely,rarely,rarely,sometimes,often,no
male,less than 2 hours,less than 4 hours,always,7 to 9 hours,4 to 6 hours,1 to 3 hours,never,always,often,often,never,always,rarely,yes
male,2 to 4 hours,more than 8 hours,rarely,more than 9 hours,4 to 6 hours,1 to 3 hours,never,sometimes,sometimes,never,always,often,often,yes
male,more than 10 hours,7 to 8 hours,sometimes,7 to 9 hours,4 to 6 hours,1 to 3 hours,sometimes,often,rarely,sometimes,always,often,always,yes
female,more than 10 hours,7 to 8 hours,always,1 to 3 hours,4 to 6 hours,4 to 6 hours,always,often,often,never,always,often,often,yes
male,more than 10 hours,7 to 8 hours,often,7 to 9 hours,7 to 9 hours,more than 9 hours,sometimes,never,often,often,always,never,sometimes,yes
male,5 to 7 hours,4 to 6 hours,rarely,1 to 3 hours,more than 9 hours,less than 1 hour,often,often,sometimes,never,rarely,often,often,yes
male,less than 2 hours,4 to 6 hours,sometimes,4 to 6 hours,less than 1 hour,7 to 9 hours,often,often,sometimes,never,never,rarely,sometimes,no
male,2 to 4 hours,4 to 6 hours,always,more than 9 hours,4 to 6 hours,less than 1 hour,rarely,often,always,sometimes,sometimes,sometimes,sometimes,yes
female,2 to 4 hours,7 to 8 hours,rarely,1 to 3 hours,less than 1 hour,more than 9 hours,often,rarely,sometimes,rarely,rarely,often,never,no
male,less than 2 hours,4 to 6 hours,never,7 to 9 hours,4 to 6 hours,more than 9 hours,rarely,always,never,always,never,often,often,yes
female,2 to 4 hours,more than 8 hours,always,less than 1 hour,7 to 9 hours,less than 1 hour,always,always,never,always,always,sometimes,sometimes,no
male,more than 10 hours,less than 4 hours,sometimes,1 to 3 hours,less than 1 hour,more than 9 hours,rarely,sometimes,never,always,always,never,often,yes
female,2 to 4 hours,4 to 6 hours,always,less than 1 hour,4 to 6 hours,less than 1 hour,never,often,always,rarely,often,never,sometimes,yes
female,2 to 4 hours,less than 4 hours,rarely,less than 1 hour,4 to 6 hours,1 to 3 hours,sometimes,always,sometimes,always,often,sometimes,often,yes
female,2 to 4 hours,7 to 8 hours,sometimes,more than 9 hours,more than 9 hours,more than 9 hours,often,rarely,sometimes,never,rarely,never,often,no
male,2 to 4 hours,7 to 8 hours,rarely,4 to 6 hours,less than 1 hour,more than 9 hours,rarely,always,never,often,always,always,always,yes
female,5 to 7 hours,less than 4 hours,sometimes,1 to 3 hours,4 to 6 hours,4 to 6 hours,often,always,never,often,often,never,always,yes
female,less than 2 hours,more than 8 hours,always,less than 1 hour,less than 1 hour,7 to 9 hours,never,never,rarely,rarely,often,sometimes,rarely,no
female,5 to 7 hours,less than 4 hours,rarely,more than 9 hours,less than 1 hour,4 to 6 hours,never,sometimes,often,always,always,sometimes,always,yes
female,less than 2 hours,more than 8 hours,often,less than 1 hour,1 to 3 hours,more than 9 hours,often,rarely,often,never,rarely,rarely,never,no
female,more than 10 hours,4 to 6 hours,always,less than 1 hour,1 to 3 hours,less than 1 hour,sometimes,sometimes,sometimes,never,sometimes,always,always,no
female,2 to 4 hours,7 to 8 hours,often,7 to 9 hours,1 to 3 hours,less than 1 hour,sometimes,never,sometimes,never,always,never,sometimes,no
male,less than 2 hours,less than 4 hours,always,1 to 3 hours,4 to 6 hours,1 to 3 hours,never,often,rarely,rarely,always,never,sometimes,yes
male,2 to 4 hours,4 to 6 hours,often,more than 9 hours,7 to 9 hours,more than 9 hours,rarely,always,rarely,always,never,never,never,yes
male,8 to 10 hours,less than 4 hours,always,7 to 9 hours,7 to 9 hours,less than 1 hour,never,often,never,sometimes,sometimes,sometimes,sometimes,yes
female,less than 2 hours,less than 4 hours,often,1 to 3 hours,4 to 6 hours,4 to 6 hours,often,often,rarely,rarely,often,always,rarely,no
female,8 to 10 hours,4 to 6 hours,often,7 to 9 hours,less than 1 hour,less than 1 hour,sometimes,never,rarely,sometimes,sometimes,rarely,rarely,no
male,2 to 4 hours,less than 4 hours,never,7 to 9 hours,less than 1 hour,1 to 3 hours,always,always,rarely,often,often,sometimes,often,yes
male,2 to 4 hours,less than 4 hours,rarely,more than 9 hours,1 to 3 hours,1 to 3 hours,often,sometimes,sometimes,rarely,always,rarely,often,yes
female,2 to 4 hours,more than 8 hours,always,less than 1 hour,less than 1 hour,7 to 9 hours,never,never,often,often,sometimes,rarely,rarely,no
female,more than 10 hours,7 to 8 hours,often,7 to 9 hours,4 to 6 hours,7 to 9 hours,often,rarely,sometimes,always,sometimes,never,always,no
male,8 to 10 hours,less than 4 hours,sometimes,1 to 3 hours,7 to 9 hours,less than 1 hour,sometimes,always,rarely,sometimes,sometimes,often,sometimes,yes
female,8 to 10 hours,7 to 8 hours,never,more than 9 hours,4 to 6 hours,less than 1 hour,rarely,rarely,sometimes,rarely,always,often,rarely,yes
female,2 to 4 hours,7 to 8 hours,never,more than 9 hours,1 to 3 hours,1 to 3 hours,sometimes,rarely,often,never,often,rarely,never,no
male,more than 10 hours,4 to 6 hours,always,less than 1 hour,7 to 9 hours,7 to 9 hours,often,sometimes,sometimes,never,never,sometimes,rarely,no
male,8 to 10 hours,more than 8 hours,often,7 to 9 hours,1 to 3 hours,4 to 6 hours,often,rarely,always,sometimes,rarely,rarely,always,no
male,5 to 7 hours,more than 8 hours,often,1 to 3 hours,4 to 6 hours,1 to 3 hours,often,never,never,never,always,often,never,no
female,2 to 4 hours,more than 8 hours,never,7 to 9 hours,7 to 9 hours,less than 1 hour,often,rarely,always,always,often,never,always,yes
female,8 to 10 hours,less than 4 hours,rarely,7 to 9 hours,more than 9 hours,1 to 3 hours,rarely,rarely,rarely,rarely,rarely,rarely,rarely,yes
male,less than 2 hours,7 to 8 hours,rarely,1 to 3 hours,1 to 3 hours,more than 9 hours,never,always,never,often,often,sometimes,sometimes,no
female,less than 2 hours,4 to 6 hours,always,1 to 3 hours,4 to 6 hours,less than 1 hour,never,rarely,rarely,often,always,never,rarely,yes
male,less than 2 hours,less than 4 hours,often,1 to 3 hours,1 to 3 hours,4 to 6 hours,often,sometimes,never,always,always,rarely,rarely,no
male,more than 10 hours,less than 4 hours,always,less than 1 hour,7 to 9 hours,less than 1 hour,often,never,often,never,sometimes,often,sometimes,yes
male,less than 2 hours,7 to 8 hours,rarely,1 to 3 hours,1 to 3 hours,more than 9 hours,never,often,often,often,never,often,never,yes
female,5 to 7 hours,more than 8 hours,often,7 to 9 hours,7 to 9 hours,7 to 9 hours,sometimes,often,never,always,rarely,never,always,yes
male,8 to 10 hours,7 to 8 hours,always,7 to 9 hours,1 to 3 hours,4 to 6 hours,rarely,often,often,never,rarely,often,sometimes,yes
male,more than 10 hours,more than 8 hours,always,7 to 9 hours,less than 1 hour,7 to 9 hours,rarely,rarely,sometimes,rarely,rarely,rarely,sometimes,no
male,2 to 4 hours,4 to 6 hours,never,1 to 3 hours,4 to 6 hours,1 to 3 hours,never,never,rarely,always,often,always,never,yes
female,8 to 10 hours,more than 8 hours,sometimes,more than 9 hours,7 to 9 hours,more than 9 hours,rarely,rarely,rarely,never,never,often,never,no
female,more than 10 hours,more than 8 hours,never,less than 1 hour,less than 1 hour,7 to 9 hours,sometimes,rarely,sometimes,always,often,sometimes,sometimes,no
female,5 to 7 hours,4 to 6 hours,often,4 to 6 hours,7 to 9 hours,more than 9 hours,sometimes,sometimes,always,never,sometimes,never,often,yes
female,2 to 4 hours,7 to 8 hours,always,4 to 6 hours,7 to 9 hours,4 to 6 hours,rarely,always,often,sometimes,always,rarely,always,yes
female,8 to 10 hours,4 to 6 hours,often,more than 9 hours,1 to 3 hours,less than 1 hour,never,often,often,rarely,rarely,rarely,sometimes,yes
female,8 to 10 hours,7 to 8 hours,sometimes,less than 1 hour,7 to 9 hours,4 to 6 hours,sometimes,rarely,often,never,sometimes,sometimes,often,no
female,more than 10 hours,7 to 8 hours,sometimes,7 to 9 hours,less than 1 hour,more than 9 hours,rarely,often,sometimes,always,often,always,rarely,yes
male,5 to 7 hours,less than 4 hours,rarely,7 to 9 hours,less than 1 hour,7 to 9 hours,rarely,always,never,rarely,always,rarely,rarely,yes
female,more than 10 hours,more than 8 hours,rarely,4 to 6 hours,less than 1 hour,7 to 9 hours,sometimes,never,rarely,often,never,often,never,no
male,5 to 7 hours,less than 4 hours,rarely,4 to 6 hours,less than 1 hour,7 to 9 hours,often,always,sometimes,rarely,rarely,rarely,often,yes
male,less than 2 hours,7 to 8 hours,always,more than 9 hours,more than 9 hours,1 to 3 hours,often,never,often,often,never,rarely,never,no
female,2 to 4 hours,4 to 6 hours,rarely,1 to 3 hours,4 to 6 hours,more than 9 hours,always,never,rarely,never,rarely,always,sometimes,no
male,5 to 7 hours,7 to 8 hours,always,7 to 9 hours,more than 9 hours,7 to 9 hours,often,sometimes,always,never,always,rarely,often,yes
male,8 to 10 hours,7 to 8 hours,often,7 to 9 hours,7 to 9 hours,more than 9 hours,often,never,sometimes,often,always,never,always,yes
male,more than 10 hours,more than 8 hours,never,more than 9 hours,1 to 3 hours,4 to 6 hours,rarely,always,always,never,rarely,always,often,yes
male,2 to 4 hours,more than 8 hours,always,less than 1 hour,4 to 6 hours,4 to 6 hours,never,often,rarely,rarely,often,always,never,no
female,5 to 7 hours,more than 8 hours,sometimes,more than 9 hours,1 to 3 hours,less than 1 hour,often,rarely,rarely,never,never,always,sometimes,no
female,2 to 4 hours,7 to 8 hours,rarely,more than 9 hours,4 to 6 hours,more than 9 hours,always,never,sometimes,rarely,sometimes,never,always,no
female,2 to 4 hours,4 to 6 hours,never,7 to 9 hours,less than 1 hour,4 to 6 hours,always,never,always,never,rarely,always,never,no
male,more than 10 hours,7 to 8 hours,always,7 to 9 hours,4 to 6 hours,more than 9 hours,rarely,sometimes,always,often,often,often,sometimes,yes
female,8 to 10 hours,4 to 6 hours,never,4 to 6 hours,7 to 9 hours,1 to 3 hours,rarely,never,always,sometimes,sometimes,always,always,yes
female,8 to 10 hours,4 to 6 hours,rarely,7 to 9 hours,less than 1 hour,7 to 9 hours,sometimes,often,sometimes,sometimes,rarely,rarely,rarely,no
female,8 to 10 hours,less than 4 hours,rarely,7 to 9 hours,1 to 3 hours,1 to 3 hours,often,rarely,never,often,never,often,never,yes
female,2 to 4 hours,7 to 8 hours,sometimes,more than 9 hours,less than 1 hour,1 to 3 hours,never,sometimes,sometimes,never,sometimes,sometimes,never,no
male,8 to 10 hours,7 to 8 hours,never,more than 9 hours,4 to 6 hours,4 to 6 hours,sometimes,never,often,sometimes,never,rarely,never,no
male,2 to 4 hours,7 to 8 hours,always,more than 9 hours,more than 9 hours,7 to 9 hours,rarely,rarely,often,never,never,never,sometimes,no
male,5 to 7 hours,4 to 6 hours,never,4 to 6 hours,less than 1 hour,more than 9 hours,often,never,never,never,rarely,rarely,sometimes,no
male,more than 10 hours,4 to 6 hours,never,4 to 6 hours,1 to 3 hours,7 to 9 hours,always,rarely,never,rarely,never,rarely,sometimes,no
female,2 to 4 hours,more than 8 hours,always,less than 1 hour,more than 9 hours,less than 1 hour,always,always,sometimes,rarely,sometimes,never,never,no
female,2 to 4 hours,7 to 8 hours,never,4 to 6 hours,less than 1 hour,4 to 6 hours,rarely,never,never,never,never,never,never,no
male,2 to 4 hours,7 to 8 hours,rarely,1 to 3 hours,more than 9 hours,4 to 6 hours,sometimes,never,always,never,always,never,sometimes,no
female,2 to 4 hours,7 to 8 hours,rarely,4 to 6 hours,4 to 6 hours,1 to 3 hours,sometimes,never,always,always,often,rarely,often,yes
male,5 to 7 hours,less than 4 hours,always,more than 9 hours,7 to 9 hours,1 to 3 hours,always,always,rarely,often,sometimes,always,always,yes
male,8 to 10 hours,4 to 6 hours,rarely,1 to 3 hours,1 to 3 hours,4 to 6 hours,rarely,sometimes,always,never,never,always,always,yes
male,8 to 10 hours,more than 8 hours,sometimes,more than 9 hours,more than 9 hours,4 to 6 hours,often,rarely,never,sometimes,often,never,often,no
female,less than 2 hours,7 to 8 hours,rarely,more than 9 hours,1 to 3 hours,1 to 3 hours,never,rarely,rarely,often,rarely,sometimes,often,yes
male,less than 2 hours,less than 4 hours,always,1 to 3 hours,less than 1 hour,7 to 9 hours,always,sometimes,rarely,rarely,often,often,rarely,no
male,8 to 10 hours,7 to 8 hours,sometimes,4 to 6 hours,4 to 6 hours,less than 1 hour,never,rarely,rarely,often,sometimes,always,never,yes
female,less than 2 hours,more than 8 hours,rarely,4 to 6 hours,4 to 6 hours,more than 9 hours,sometimes,never,often,rarely,rarely,always,rarely,no
female,less than 2 hours,7 to 8 hours,always,less than 1 hour,less than 1 hour,more than 9 hours,sometimes,rarely,often,never,often,never,always,no
female,2 to 4 hours,less than 4 hours,never,more than 9 hours,1 to 3 hours,less than 1 hour,rarely,often,never,always,always,sometimes,never,yes
female,less than 2 hours,7 to 8 hours,never,more than 9 hours,4 to 6 hours,7 to 9 hours,always,always,sometimes,often,rarely,often,always,yes
female,2 to 4 hours,4 to 6 hours,often,less than 1 hour,less than 1 hour,4 to 6 hours,never,always,always,sometimes,rarely,rarely,sometimes,no
male,5 to 7 hours,4 to 6 hours,sometimes,4 to 6 hours,more than 9 hours,1 to 3 hours,often,rarely,often,always,sometimes,always,rarely,yes
male,less than 2 hours,4 to 6 hours,never,more than 9 hours,less than 1 hour,1 to 3 hours,often,always,rarely,often,never,sometimes,often,yes
male,more than 10 hours,7 to 8 hours,often,more than 9 hours,4 to 6 hours,7 to 9 hours,rarely,always,never,rarely,never,always,never,yes
male,2 to 4 hours,more than 8 hours,always,more than 9 hours,more than 9 hours,7 to 9 hours,often,never,often,sometimes,rarely,sometimes,sometimes,no
female,less than 2 hours,more than 8 hours,rarely,7 to 9 hours,more than 9 hours,less than 1 hour,rarely,often,sometimes,never,sometimes,never,never,yes
female,8 to 10 hours,4 to 6 hours,rarely,more than 9 hours,4 to 6 hours,1 to 3 hours,rarely,never,sometimes,often,often,sometimes,often,yes
female,2 to 4 hours,7 to 8 hours,always,more than 9 hours,7 to 9 hours,4 to 6 hours,sometimes,never,sometimes,rarely,never,never,sometimes,no
male,2 to 4 hours,7 to 8 hours,always,more than 9 hours,7 to 9 hours,1 to 3 hours,sometimes,never,always,sometimes,never,rarely,sometimes,no
female,less than 2 hours,4 to 6 hours,rarely,7 to 9 hours,1 to 3 hours,7 to 9 hours,never,sometimes,never,often,often,sometimes,rarely,yes
male,less than 2 hours,less than 4 hours,never,more than 9 hours,less than 1 hour,4 to 6 hours,rarely,sometimes,rarely,rarely,never,always,sometimes,no
male,5 to 7 hours,7 to 8 hours,rarely,4 to 6 hours,less than 1 hour,7 to 9 hours,sometimes,sometimes,never,never,sometimes,sometimes,rarely,no
female,less than 2 hours,less than 4 hours,never,more than 9 hours,less than 1 hour,less than 1 hour,never,never,sometimes,never,never,rarely,always,yes
male,5 to 7 hours,more than 8 hours,sometimes,7 to 9 hours,4 to 6 hours,more than 9 hours,sometimes,always,rarely,rarely,often,often,sometimes,yes
female,8 to 10 hours,4 to 6 hours,rarely,1 to 3 hours,less than 1 hour,1 to 3 hours,never,often,often,always,often,sometimes,always,yes
male,5 to 7 hours,less than 4 hours,sometimes,less than 1 hour,4 to 6 hours,more than 9 hours,often,sometimes,often,always,always,sometimes,always,yes
female,8 to 10 hours,7 to 8 hours,often,less than 1 hour,more than 9 hours,more than 9 hours,sometimes,sometimes,often,never,sometimes,rarely,sometimes,no
female,2 to 4 hours,more than 8 hours,sometimes,less than 1 hour,more than 9 hours,7 to 9 hours,always,never,always,never,always,always,rarely,no
male,less than 2 hours,less than 4 hours,always,more than 9 hours,more than 9 hours,more than 9 hours,never,rarely,sometimes,rarely,sometimes,never,rarely,no
male,less than 2 hours,4 to 6 hours,always,more than 9 hours,1 to 3 hours,4 to 6 hours,sometimes,often,sometimes,never,always,never,never,no
male,2 to 4 hours,less than 4 hours,never,more than 9 hours,less than 1 hour,4 to 6 hours,often,never,never,often,always,rarely,never,no
female,2 to 4 hours,more than 8 hours,sometimes,more than 9 hours,less than 1 hour,7 to 9 hours,never,often,always,often,never,always,rarely,yes
male,more than 10 hours,less than 4 hours,often,7 to 9 hours,more than 9 hours,less than 1 hour,never,often,often,always,rarely,always,always,yes
male,more than 10 hours,7 to 8 hours,rarely,more than 9 hours,less than 1 hour,1 to 3 hours,always,sometimes,sometimes,never,rarely,always,never,no
male,less than 2 hours,7 to 8 hours,always,4 to 6 hours,7 to 9 hours,4 to 6 hours,often,always,never,rarely,rarely,often,rarely,no
male,8 to 10 hours,7 to 8 hours,rarely,1 to 3 hours,4 to 6 hours,less than 1 hour,rarely,never,sometimes,often,often,rarely,rarely,yes
male,2 to 4 hours,more than 8 hours,rarely,less than 1 hour,more than 9 hours,more than 9 hours,never,rarely,never,always,never,always,always,yes
male,more than 10 hours,7 to 8 hours,always,7 to 9 hours,7 to 9 hours,1 to 3 hours,often,rarely,rarely,sometimes,never,rarely,sometimes,no
male,8 to 10 hours,7 to 8 hours,always,more than 9 hours,1 to 3 hours,less than 1 hour,sometimes,sometimes,rarely,often,never,often,sometimes,no
female,8 to 10 hours,less than 4 hours,sometimes,4 to 6 hours,1 to 3 hours,more than 9 hours,never,never,sometimes,never,often,always,rarely,yes
male,2 to 4 hours,4 to 6 hours,always,less than 1 hour,1 to 3 hours,1 to 3 hours,rarely,never,often,sometimes,rarely,never,often,no
male,8 to 10 hours,4 to 6 hours,never,less than 1 hour,more than 9 hours,4 to 6 hours,sometimes,never,never,never,often,sometimes,never,no
female,5 to 7 hours,more than 8 hours,sometimes,more than 9 hours,less than 1 hour,more than 9 hours,often,sometimes,often,never,always,rarely,rarely,no
male,less than 2 hours,less than 4 hours,rarely,more than 9 hours,7 to 9 hours,more than 9 hours,sometimes,never,rarely,never,rarely,never,rarely,no
female,5 to 7 hours,more than 8 hours,rarely,more than 9 hours,more than 9 hours,more than 9 hours,always,sometimes,rarely,often,rarely,rarely,always,yes
male,2 to 4 hours,7 to 8 hours,never,more than 9 hours,more than 9 hours,1 to 3 hours,always,always,rarely,often,rarely,often,rarely,yes
female,5 to 7 hours,less than 4 hours,always,more than 9 hours,7 to 9 hours,1 to 3 hours,rarely,sometimes,always,rarely,often,sometimes,often,yes
female,8 to 10 hours,less than 4 hours,often,less than 1 hour,4 to 6 hours,more than 9 hours,rarely,never,sometimes,often,sometimes,never,rarely,no
female,2 to 4 hours,less than 4 hours,always,4 to 6 hours,1 to 3 hours,less than 1 hour,never,always,sometimes,never,sometimes,never,always,yes
